pdb,Hchain,Lchain,model,antigen_chain
5veb,A,B,0,X
4r8w,H,L,0,B | A
4f3f,B,A,0,C
4ogy,M,N,0,B
3uji,H,L,0,P
1oaz,J,N,0,B
2uzi,H,L,0,R
4lsu,H,L,0,G
4ye4,H,L,0,G
2bdn,H,L,0,A
3pnw,H,G,0,I
2qqk,H,L,0,A
3sdy,H,L,0,B | A
2b0s,H,L,0,P
4xvj,H,L,0,A
4jzo,G,H,0,L
3w9e,A,B,0,C
4uu9,A,B,0,C
3t3p,E,F,0,C
4rwy,H,L,0,A
4ffy,H,L,0,A
4np4,H,L,0,A
3u9p,K,M,0,C
4hkx,A,B,0,E
1nsn,H,L,0,S
3lev,H,L,0,A
5hbt,D,C,0,B
4xtr,C,D,0,B
4jlr,H,L,0,S
4lsp,H,L,0,G
4lmq,H,L,0,D
3h42,H,L,0,B | A
5anm,B,A,0,G
5ggv,H,L,0,Y
3skj,H,L,0,E
2oz4,H,L,0,A
4rgn,F,G,0,S
5dd0,H,L,0,P
3idx,H,L,0,G
3ggw,B,A,0,E
3gi9,H,L,0,C
4k94,H,L,0,C | C
3liz,H,L,0,A
1tpx,B,C,0,A
4hwb,H,L,0,A
3hb3,C,D,0,B
1xiw,D,C,0,A | F
2j88,H,L,0,A
4d9q,E,D,0,B
4o4y,H,L,0,A
1yjd,H,L,0,C
4zto,H,L,0,P
3d9a,H,L,0,C
2xqy,G,L,0,A
4dw2,H,L,0,U
1w72,H,L,0,A | C
3eyf,B,A,0,E
4nnp,H,L,0,A
1v7m,H,L,0,V
4i2x,B,A,0,E
4aei,I,M,0,B
4edw,H,L,0,V
4fqj,H,L,0,A
5mi0,B,C,0,A
5do2,C,D,0,B
4cmh,B,C,0,A
4jpk,H,L,0,A
5dsc,E,F,0,M
4jpv,H,L,0,G
1ors,B,A,0,C
5en2,A,B,0,C
5d70,H,L,0,A
5l0q,F,E,0,D
4qww,D,C,0,B
1ce1,H,L,0,P
3zkm,C,D,0,B
5dmg,E,F,0,X
4m62,I,M,0,T
5mvz,H,L,0,U
4dqo,H,L,0,C
5gjs,H,L,0,B | A
1ztx,H,L,0,E
2aep,H,L,0,A
5e94,B,A,0,G
2b2x,I,M,0,B
5tq0,H,L,0,A | B
1fns,H,L,0,A
4kxz,J,I,0,B
5dfv,C,D,0,A
2ih3,A,B,0,C
1tzh,B,A,0,W
3t2n,I,M,0,B
2otu,D,C,0,Q
3b2u,T,U,0,S
1kb5,H,L,0,A | B
4dvr,H,L,0,G
3uc0,I,M,0,B
1nfd,F,E,0,B
3q1s,H,L,0,I
4ydv,H,L,0,P
3ma9,H,L,0,A
3u4e,A,B,0,J
3pgf,H,L,0,A
5ds8,H,L,0,P
3nps,B,C,0,A
2xwt,A,B,0,C
4plj,D,C,0,B
3gbm,I,M,0,D | C
4ht1,H,L,0,T
5h35,H,I,0,D
3o2d,H,L,0,A
4lqf,H,L,0,A
4zfg,H,L,0,A
3wkm,I,M,0,B
5eu7,E,C,0,A
4g7v,H,L,0,S
5ggt,H,L,0,A
1eo8,H,L,0,A
3lzf,H,L,0,A
4ot1,H,L,0,A
1osp,H,L,0,O
1h0d,B,A,0,C
4wht,G,H,0,g
4nx3,B,A,0,D
1egj,H,L,0,A
5kw9,H,L,0,A
5hi4,C,D,0,B
5b3j,E,F,0,C
3hi6,X,Y,0,B
4f37,H,L,0,A
4k3j,H,L,0,B
5w6g,H,L,0,A
1jrh,H,L,0,I
2qqn,H,L,0,A
4dtg,H,L,0,K
4rdq,I,H,0,A
3b9k,D,C,0,F
3ldb,C,B,0,A
2vxt,H,L,0,I
